gameMode,win,ally0_kills,ally0_assists,ally0_death,ally0_role,ally0_champion,ally0_vision_score,ally0_total_damage,ally0_item0,ally0_item2,ally0_item1,ally0_item3,ally0_item4,ally0_item5,ally0_item6,ally0_minions,ally1_kills,ally1_assists,ally1_death,ally1_role,ally1_champion,ally1_vision_score,ally1_total_damage,ally1_item0,ally1_item2,ally1_item1,ally1_item3,ally1_item4,ally1_item5,ally1_item6,ally1_minions,ally2_kills,ally2_assists,ally2_death,ally2_role,ally2_champion,ally2_vision_score,ally2_total_damage,ally2_item0,ally2_item2,ally2_item1,ally2_item3,ally2_item4,ally2_item5,ally2_item6,ally2_minions,ally3_kills,ally3_assists,ally3_death,ally3_role,ally3_champion,ally3_vision_score,ally3_total_damage,ally3_item0,ally3_item2,ally3_item1,ally3_item3,ally3_item4,ally3_item5,ally3_item6,ally3_minions,me_kills,me_assists,me_death,me_role,me_champion,me_vision_score,me_total_damage,me_item0,me_item2,me_item1,me_item3,me_item4,me_item5,me_item6,me_minions,enemy4_kills,enemy4_assists,enemy4_death,enemy4_role,enemy4_champion,enemy4_vision_score,enemy4_total_damage,enemy4_item0,enemy4_item2,enemy4_item1,enemy4_item3,enemy4_item4,enemy4_item5,enemy4_item6,enemy4_minions,enemy0_kills,enemy0_assists,enemy0_death,enemy0_role,enemy0_champion,enemy0_vision_score,enemy0_total_damage,enemy0_item0,enemy0_item2,enemy0_item1,enemy0_item3,enemy0_item4,enemy0_item5,enemy0_item6,enemy0_minions,enemy1_kills,enemy1_assists,enemy1_death,enemy1_role,enemy1_champion,enemy1_vision_score,enemy1_total_damage,enemy1_item0,enemy1_item2,enemy1_item1,enemy1_item3,enemy1_item4,enemy1_item5,enemy1_item6,enemy1_minions,enemy2_kills,enemy2_assists,enemy2_death,enemy2_role,enemy2_champion,enemy2_vision_score,enemy2_total_damage,enemy2_item0,enemy2_item2,enemy2_item1,enemy2_item3,enemy2_item4,enemy2_item5,enemy2_item6,enemy2_minions,enemy3_kills,enemy3_assists,enemy3_death,enemy3_role,enemy3_champion,enemy3_vision_score,enemy3_total_damage,enemy3_item0,enemy3_item2,enemy3_item1,enemy3_item3,enemy3_item4,enemy3_item5,enemy3_item6,enemy3_minions
ARAM,False,2,29,8,DUO,15,0,98777,6675,3006,3087,1036,3072,1018,0,100,14,13,15,SUPPORT,24,0,35808,3078,3091,3111,3153,3065,0,2052,15,9,25,6,SUPPORT,99,0,45190,6655,4645,3020,4628,1052,0,2052,13,8,15,7,SUPPORT,38,0,28384,6657,3040,2420,3100,3020,1029,0,22,11,13,9,SUPPORT,950,0,35221,6691,6693,3006,6676,3133,1028,2052,35,8,24,4,SUPPORT,34,0,63960,6657,3020,3157,2031,3040,0,2052,46,7,24,14,SUPPORT,10,0,54535,3112,3006,3153,3091,6672,6677,2052,48,11,17,7,SUPPORT,101,0,71538,6653,3089,3020,3135,0,0,2052,55,15,11,8,SUPPORT,76,0,54337,6655,3089,3191,3135,3020,0,2052,26,4,18,11,SUPPORT,266,0,44982,3111,3071,6630,3211,3067,2031,2052,30
ARAM,False,2,19,3,SUPPORT,117,0,11271,3107,3222,6620,3504,3916,0,2052,3,7,12,7,SUPPORT,34,0,42192,6653,3040,3020,4637,3145,1052,0,36,5,14,5,DUO,119,0,51050,3078,3036,3111,6676,2015,1018,0,58,5,12,5,SUPPORT,31,0,45096,3083,3068,3047,4401,3067,0,0,25,7,10,6,SUPPORT,104,0,63726,3042,3006,6691,6676,3134,1036,0,54,9,9,4,SUPPORT,432,0,24014,3087,3006,3124,3094,0,0,2052,9,4,16,3,SUPPORT,4,0,74507,6655,3070,2031,3020,3100,1058,0,34,8,6,7,SUPPORT,51,0,75393,6672,3072,3006,3031,0,0,2052,71,1,10,7,SUPPORT,14,0,20884,3083,6660,6665,1031,0,0,0,9,4,10,5,DUO,90,0,84908,6653,3089,3020,3165,0,0,2052,106
ARAM,False,16,13,15,SUPPORT,114,0,86217,6632,3156,3111,3161,3065,6333,0,50,5,15,15,SUPPORT,84,0,37432,3801,3089,4636,3020,3100,0,2052,20,2,32,5,SOLO,350,0,27123,3040,4637,6653,3165,0,0,2052,7,6,20,9,DUO,29,0,110930,3124,3153,3006,3085,3036,0,0,127,12,20,9,SUPPORT,103,0,115663,6655,3040,3020,4645,3089,0,2052,72,3,37,7,NONE,497,0,35534,6665,3121,3111,3075,4401,1028,2052,27,5,41,10,SUPPORT,37,0,44026,3020,3089,6655,3165,3108,3057,0,21,11,28,10,SOLO,28,0,106196,6655,3020,3165,4645,4630,3089,0,66,8,29,7,SUPPORT,85,0,71263,3157,4645,3020,4636,3165,1058,2052,46,25,17,7,DUO,41,0,218579,3508,6675,3158,6676,6673,3033,0,120
ARAM,False,11,25,16,SUPPORT,221,0,216655,3078,3087,3006,3072,3085,3036,2052,153,16,30,22,DUO,136,0,151284,4645,3089,3157,6653,3020,3135,2052,159,14,16,23,SUPPORT,119,0,148270,6676,3508,3031,3072,3036,3094,2052,76,9,18,15,SUPPORT,103,0,97449,6655,4645,3020,3135,3165,3102,0,60,13,29,12,SUPPORT,50,0,127143,6665,4637,4401,3065,3116,3102,0,44,2,20,8,SUPPORT,16,0,34148,6655,3089,3020,4645,3135,3083,2052,12,27,34,12,SUPPORT,41,0,402418,6691,6676,3087,3508,3033,3072,0,185,33,31,11,SOLO,76,0,206563,6655,3117,4645,3089,3135,4628,2052,83,18,43,18,DUO,30,0,230342,6653,4637,4645,6696,3165,3089,0,127,8,30,14,SUPPORT,412,0,127054,6665,3111,4401,3075,3083,3065,0,85
ARAM,True,3,21,8,SUPPORT,79,0,24661,6656,1058,3157,3020,1052,1028,2052,13,1,23,5,SUPPORT,57,0,25123,2051,6665,3070,3111,3068,1029,0,27,22,24,9,SUPPORT,62,0,56388,6632,2420,3074,3071,6694,3047,0,34,20,22,8,DUO,104,0,72662,6676,6691,3006,3072,6673,1036,2052,74,9,26,7,SUPPORT,30,0,49813,6653,3040,3020,3089,1026,0,2052,40,9,22,11,SUPPORT,235,0,44448,3042,3006,6672,3124,2015,3086,2052,38,1,27,10,SUPPORT,267,0,20022,6617,3158,3070,3504,3114,3113,2052,13,6,18,9,SUPPORT,202,0,45635,3095,3009,6671,3036,0,0,2052,41,10,19,12,SUPPORT,268,0,67706,3157,3115,6653,4630,0,3020,2052,47,11,16,13,SUPPORT,234,0,58266,3111,3153,6672,6632,3133,1036,2052,40
ARAM,True,8,18,12,SUPPORT,92,0,28029,6631,3053,3111,1031,3133,0,2052,16,5,20,7,DUO,10,0,54482,3124,3006,3115,1033,3051,1042,0,69,18,19,9,SUPPORT,86,0,54385,3111,3742,6631,4401,1029,1036,2052,31,3,26,8,SUPPORT,117,0,11444,6617,3504,3158,3107,3114,3113,2052,7,9,18,3,SUPPORT,887,0,43381,3115,1033,3111,4633,0,0,2052,35,10,15,19,SUPPORT,107,0,30656,6691,6693,6676,0,3111,0,0,19,10,18,11,SUPPORT,133,3,37799,1038,3006,6672,6676,1037,1018,2052,22,0,29,1,SUPPORT,350,0,17784,6655,1058,1004,0,0,0,2052,8,6,24,7,SUPPORT,235,0,35878,2015,2031,3124,3009,3042,3086,2052,37,12,20,5,SUPPORT,63,0,41300,6655,3116,3020,1026,2003,1052,2052,18
ARAM,False,8,13,15,SUPPORT,555,0,19277,3177,3158,6691,6696,3814,0,0,4,9,17,8,SUPPORT,92,0,31697,3177,3111,3051,6692,3156,3077,0,18,11,17,11,SUPPORT,145,0,50311,3115,3124,3042,3006,2015,1018,2052,38,11,33,8,CARRY,99,0,112864,6655,1058,4645,3020,4628,3135,0,79,10,23,8,CARRY,888,0,58548,6653,3158,3040,4642,4637,1011,0,45,6,20,11,SUPPORT,412,0,46907,3087,3047,6665,3068,1053,1043,2052,30,14,14,7,SUPPORT,133,2,48614,6691,6693,3006,6676,3036,0,2052,38,6,26,10,DUO,157,0,80542,6672,6673,6665,3091,0,0,2052,59,13,24,11,SUPPORT,45,0,70561,6655,3089,3157,3102,3020,0,2052,27,11,22,10,SOLO,39,0,75250,3153,1037,3111,6665,3091,3133,2052,81
ARAM,True,8,21,8,SUPPORT,86,0,31967,6631,3742,3111,3067,0,0,0,32,5,34,8,SUPPORT,103,0,36172,6655,3020,2003,3089,0,0,2052,14,11,29,4,SUPPORT,18,0,53962,3031,3094,3006,3184,3035,0,0,38,17,34,4,SUPPORT,235,0,56249,6672,3124,3006,3094,3035,0,0,43,14,18,3,SUPPORT,35,0,29153,6653,4637,3020,3916,3145,1052,2052,13,5,7,11,SUPPORT,555,0,13288,6691,6696,3158,3134,0,0,2052,6,6,12,11,SUPPORT,36,0,23850,3084,3083,3111,3067,1028,0,2052,23,10,8,9,SUPPORT,119,0,37569,6676,6691,3006,6696,1036,0,2052,20,6,12,12,SUPPORT,23,0,30321,6671,3087,3006,1042,0,0,2052,20,0,11,12,SUPPORT,82,0,26903,4633,3047,3116,0,0,0,2052,19
ARAM,True,22,15,13,SUPPORT,20,0,55122,4636,4645,3020,3089,3076,1011,2052,20,6,22,7,SUPPORT,113,0,38395,3084,4401,3068,1028,0,3111,2052,27,10,14,5,SUPPORT,246,0,50367,3177,6691,3070,3111,6696,3134,0,44,2,10,1,SUPPORT,145,0,40897,3042,3087,3115,1001,0,0,0,60,4,15,3,SUPPORT,82,0,31103,6665,3047,6660,3075,0,0,2052,38,6,9,7,SUPPORT,56,0,22874,6696,6691,3158,3814,0,0,2052,14,8,13,13,SUPPORT,119,0,36700,3508,3031,3006,3036,0,0,2052,34,4,13,7,SUPPORT,104,0,42513,6691,3111,6676,3155,1053,0,0,44,7,11,7,SUPPORT,222,0,44013,6672,3085,3006,1053,1018,0,0,43,4,15,10,SUPPORT,127,0,31108,6653,4637,3020,1058,0,0,0,19
ARAM,True,7,38,5,SUPPORT,113,0,57717,2051,7026,3070,3047,3068,3076,0,58,17,26,5,SUPPORT,63,0,58316,1011,3158,0,3112,4637,7012,2052,21,13,31,8,SUPPORT,131,0,56347,3020,3157,7010,4645,1052,0,2052,21,9,34,7,SUPPORT,516,0,44375,7026,4401,3075,1029,0,3047,2052,38,13,36,2,SUPPORT,74,0,73679,6653,3116,3020,4637,1058,0,2052,52,11,9,8,SUPPORT,67,0,45313,6672,3153,3006,3046,1053,0,2052,37,4,15,12,SUPPORT,8,0,59773,4636,4629,3158,3065,4630,0,2052,36,8,12,18,SUPPORT,157,0,60254,3006,6665,6672,3072,3211,0,2052,41,3,13,11,SUPPORT,12,0,22003,6665,3111,2031,3083,1057,0,2052,8,1,14,10,SUPPORT,57,0,37526,3112,6653,3121,3020,1028,0,2052,24
ARAM,False,3,24,11,DUO,15,0,63058,3184,2031,3087,6675,3006,3086,2052,67,2,23,17,SUPPORT,235,0,23847,6692,6672,3006,2015,1036,3086,2052,14,5,12,15,SUPPORT,38,0,27819,6655,4645,3070,3020,3067,1058,0,30,4,9,14,SUPPORT,31,0,15525,6655,4645,3020,3145,0,0,2052,5,20,11,11,SUPPORT,54,0,43102,6662,3075,3047,3110,4401,1011,0,26,2,44,2,SUPPORT,16,0,23916,6655,3504,2031,3158,3011,0,0,6,23,22,11,SUPPORT,91,0,55045,6691,6676,3158,6696,6694,1036,0,47,9,37,5,SUPPORT,518,0,70348,6655,4645,3020,3135,1052,0,2052,39,13,24,12,SUPPORT,11,0,40169,6672,3124,3006,0,0,0,2052,24,21,22,5,SUPPORT,29,0,71613,3006,3031,6672,3085,1018,1036,2052,69
ARAM,False,11,10,14,SUPPORT,55,0,27353,3157,3020,3135,3089,1026,0,2052,6,14,7,15,SUPPORT,24,0,20275,6632,1001,3153,6333,3051,1033,0,10,1,19,8,SUPPORT,427,0,20954,6653,4637,3020,1011,0,0,2052,26,1,10,11,SUPPORT,31,0,40031,2051,3084,3070,3111,3068,0,2052,40,8,10,12,DUO,14,0,52017,6691,6676,3009,6696,1033,0,0,49,13,36,11,SUPPORT,4,0,73150,6653,4637,3020,3165,1058,0,2052,33,16,25,6,SUPPORT,30,0,40062,6653,4645,3020,3165,1011,0,2052,32,10,28,7,SUPPORT,145,0,44811,3042,6675,6672,3006,0,0,2052,35,9,35,8,SUPPORT,711,0,51800,6655,4645,3020,1058,1058,0,0,29,12,29,3,SUPPORT,45,0,56474,6655,3089,3020,3145,0,0,2052,51
ARAM,False,11,28,12,SUPPORT,112,0,70941,3112,6655,3040,4645,1058,0,2052,32,22,21,11,SOLO,20,0,75664,4636,4645,3020,3135,3165,1058,2052,36,9,36,6,SOLO,13,0,72651,6656,3020,3121,3110,3075,1026,2052,41,8,15,12,DUO,41,0,81985,3158,6675,3508,6676,3036,1036,2052,65,10,22,8,DUO,122,0,72344,3078,3009,6333,3742,3053,0,0,56,8,12,17,SUPPORT,63,0,63605,6653,3165,3157,4645,0,3020,2052,38,2,28,10,DUO,30,0,90635,6655,3089,3020,3135,3191,0,2052,59,29,8,14,DUO,92,0,105728,6630,3074,3111,3156,6333,3161,2052,60,4,27,10,SUPPORT,10,0,58372,3124,3115,3006,6672,3091,0,2052,59,6,19,9,DUO,81,0,63419,6632,3006,3042,3153,3035,3133,2052,37
ARAM,False,11,26,9,SOLO,76,0,89751,3040,4645,6655,3089,3135,0,2052,31,18,22,20,SUPPORT,711,0,84008,6655,3089,3157,3135,3020,4632,2052,22,15,24,18,SUPPORT,6,0,108217,3748,3111,3084,3075,4401,3068,0,73,4,31,18,SUPPORT,875,0,61396,3084,3068,4401,3075,3065,0,2052,52,18,22,13,SUPPORT,432,0,130767,3087,3006,6672,3124,3094,3153,0,91,18,27,9,SUPPORT,555,0,33608,6691,6695,3158,3179,6676,3156,2052,11,17,41,9,SUPPORT,45,0,161796,3020,3083,6655,4645,3165,3089,2052,109,12,38,19,SUPPORT,10,0,115429,3124,3006,3115,3153,3091,1043,2052,78,7,52,11,SUPPORT,74,0,116083,6653,3020,3157,4637,3116,3089,0,71,24,20,18,NONE,11,0,105828,6691,3006,3091,3153,6676,6333,0,22
ARAM,False,11,6,8,SUPPORT,81,0,53202,3177,3111,3042,6694,3078,3133,0,45,9,16,10,SUPPORT,1,0,38587,3020,0,3916,3089,4645,6655,2052,16,0,0,2,SUPPORT,111,0,1097,3105,2010,2031,0,0,0,2052,1,9,9,10,DUO,104,0,80163,6691,6676,3006,3072,1018,3035,2052,88,3,18,8,SUPPORT,54,0,43456,3084,3070,3111,4401,6660,1031,0,36,4,33,3,SUPPORT,40,0,62556,6655,3040,2424,3158,4005,3108,2052,42,7,21,6,SUPPORT,96,0,54158,6653,4637,1028,3020,3070,1058,2052,30,5,18,8,SUPPORT,63,0,47744,3157,3116,3020,6653,1052,1028,2052,42,16,9,8,SUPPORT,254,0,61230,6333,6676,6692,3111,3508,3035,2052,40,6,16,7,SUPPORT,29,0,51722,3006,3085,3124,3115,3051,1043,2052,74
ARAM,True,7,20,17,SUPPORT,91,0,61440,3042,6696,6691,3158,6693,3133,0,34,7,38,15,SUPPORT,51,0,103312,6671,3072,6672,3006,3134,3036,2052,81,19,36,13,SUPPORT,54,0,87144,4636,3157,3020,3089,4645,3135,2052,38,37,29,15,SOLO,59,0,89033,6693,3047,6691,6676,6333,3814,0,51,15,38,13,SUPPORT,268,0,131670,6653,3115,3145,4645,3089,3116,0,111,4,14,20,SUPPORT,157,0,48486,6691,6693,3006,3036,1031,3133,2052,32,18,24,15,DUO,29,0,129979,3006,3124,3153,6672,3085,3036,2052,83,31,25,17,CARRY,126,0,142029,3042,3158,6691,6676,6694,3814,2052,70,12,31,17,DUO,119,0,135012,3814,3006,3031,3508,3036,6673,2052,86,8,45,16,SOLO,64,0,66098,6691,6696,3158,3156,6333,6676,2052,31
ARAM,False,3,24,13,SUPPORT,222,0,70824,6691,6672,3006,3085,2015,3086,0,61,8,24,13,SUPPORT,20,0,69354,3020,6655,2031,4645,4628,1058,2052,35,13,18,8,SUPPORT,51,0,77697,6691,6676,3006,3072,6696,0,0,56,17,19,11,SUPPORT,126,0,68727,3123,6694,3042,3158,6691,6676,0,57,5,21,11,SUPPORT,420,0,57802,6632,3071,3111,6333,3076,1028,2052,32,1,34,8,SUPPORT,40,0,30542,6617,3165,3158,4005,0,0,2052,8,10,17,11,SUPPORT,254,0,38639,6632,6333,3047,6676,3123,3133,2052,21,24,16,11,DUO,119,0,121093,6676,3508,3072,3031,3094,3085,0,87,15,20,9,SUPPORT,9,0,45017,3157,6653,3020,3116,3165,0,2052,26,6,16,7,SUPPORT,8,0,57506,4636,4629,3020,3089,1026,0,2052,42
ARAM,False,13,35,13,SUPPORT,30,0,132598,0,0,0,0,0,0,0,68,10,16,16,SUPPORT,17,0,79206,6653,3089,3020,3135,4629,1058,2052,55,20,20,19,SUPPORT,9,0,117675,3157,4636,3020,3089,3135,3165,2052,59,10,23,12,SOLO,203,0,135366,6672,3078,3006,3091,3153,3036,0,111,8,20,15,SUPPORT,122,0,56579,3111,3742,6631,6333,4401,1036,2052,33,8,35,10,SUPPORT,23,0,61696,3084,3046,3153,3006,3748,1038,2052,38,10,46,9,SUPPORT,43,0,108022,6653,3020,3089,4637,4645,3916,2052,50,16,34,18,SUPPORT,10,0,79951,3006,3115,3124,3091,3072,3085,2052,66,23,30,11,SOLO,92,0,109476,6692,3074,3111,6333,3071,3156,0,55,18,33,13,DUO,222,0,135998,3031,4401,3085,3072,3094,3065,2052,139
ARAM,True,5,21,6,SUPPORT,142,0,40426,6655,4645,3158,4628,3100,0,2052,20,15,14,11,DUO,112,0,98394,6653,3100,3020,4645,3089,3135,2052,72,9,21,10,SOLO,21,0,105198,3124,3153,6672,3036,3006,0,0,104,18,10,12,SUPPORT,84,0,60010,4633,4645,3020,3089,3113,3108,2052,14,6,27,6,SUPPORT,54,0,57987,2051,3084,3070,3009,3075,3065,2052,33,18,17,8,NONE,110,0,109882,6691,3042,3158,6676,3814,6694,2052,60,2,17,10,NONE,432,0,44952,4636,3089,3020,3100,1043,3108,2052,47,7,17,11,SUPPORT,31,0,51093,3111,3116,6656,3083,4401,1028,2052,25,13,13,12,SOLO,238,0,62555,6691,6676,3111,6696,3814,1036,2052,40,5,22,12,CARRY,10,0,54253,4633,3115,3006,3091,1058,1058,2052,50
ARAM,True,7,48,14,DUO,203,0,88427,6672,3124,3006,3091,3085,1053,0,65,14,50,14,SUPPORT,238,0,99816,6692,3074,3111,6694,3071,3134,2052,57,13,51,9,SUPPORT,1,0,88639,6653,4637,3158,3089,3003,4630,2052,37,17,45,16,NONE,245,0,112324,3020,3152,3100,3089,3135,3108,2052,55,28,34,11,SUPPORT,950,0,110298,6691,6676,3074,6694,6693,3071,2052,67,6,35,12,SUPPORT,412,0,46305,3084,3075,3047,4401,3068,0,2052,21,7,36,17,SUPPORT,6,0,141981,3748,3084,1057,3111,3071,6333,2052,82,18,30,17,SUPPORT,86,0,114318,3084,3068,3077,3075,4401,3083,2052,59,17,28,15,SUPPORT,84,0,125252,4636,4645,3020,3089,3100,3102,0,48,16,29,18,SUPPORT,38,0,116241,3157,3020,6657,4645,3040,3089,2052,57
